lead,co_lead,organisation,title,year,abstract,keywords,type,status,id,Org-Swiss Tropical and Public Health Institute,Org-Faculty of Science,Org-Faculty of Medicine,Org-Faculty of Psychology,Org-Faculty of Business and Economics,Org-Institute for Biomedical Ethics,Org-Faculty of Humanties and Social Sciences,Org-Friedrich Miescher Institute for Biomedical Research,Org-Faculty of Law,Org-Center for Philantropy Studies,Org-Institute of Molecular and Clinical Ophthalmology Basel,Org-Institute for European Global Studies,Org-Faculty of Theology,Org-Institute for Educational Sciences,Org-Swisspeace,Org-Basel Institute on Governance,doc_id,SDG-01-Aurora,SDG-02-Aurora,SDG-03-Aurora,SDG-04-Aurora,SDG-05-Aurora,SDG-06-Aurora,SDG-07-Aurora,SDG-08-Aurora,SDG-09-Aurora,SDG-10-Aurora,SDG-11-Aurora,SDG-12-Aurora,SDG-13-Aurora,SDG-14-Aurora,SDG-15-Aurora,SDG-16-Aurora,SDG-17-Aurora,SDG-01-Elsevier,SDG-02-Elsevier,SDG-03-Elsevier,SDG-04-Elsevier,SDG-05-Elsevier,SDG-06-Elsevier,SDG-07-Elsevier,SDG-08-Elsevier,SDG-09-Elsevier,SDG-10-Elsevier,SDG-11-Elsevier,SDG-12-Elsevier,SDG-13-Elsevier,SDG-14-Elsevier,SDG-15-Elsevier,SDG-16-Elsevier
"Hirsch, Hans H.",NA,Departement Biomedizin / Transplantation Virology (Hirsch),"CMV, EBV, BK Virus Infections",2010,"Trial to investigate efficacy, safety and cardiovascular parameters of Certican in combination with Myfortic and steroids in adult renal allograft recipients. Effect on Cytomegalovirus, Epstein-Barr virus and Polyomavirus BK.",NA,external_funding,Active,1201576,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Schwenkglenks, Matthias","Szucs, Thomas",Departement Public Health / Pharmazeutische Medizin (Szucs),Cost-effectiveness of novel ophthalmology drugs,2010,"Assessment of cost-effectiveness of novel ophthalmology drugs, from the perspective of the Swiss statutory health insurance and Swiss healthcare system.",NA,external_funding,Completed,4491703,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Christofori, Gerhard M.",NA,Departement Biomedizin / Tumor Biology (Christofori),High content identification and modulation of signaling pathways underlying epithelial-mesenchymal-transition (EMT) and cancer metastasis,2013,"Most cancer deaths are due to the systemic dissemination of cancer cells and the formation of secondary tumors (metastasis) in distant organs. Obviously, the migratory and invasive capabilities of cancer cells are critical parameters in the metastatic cascade. 90% of all cancers originate from epithelial tissues, and to leave the primary tumor and to invade into the surrounding tissue tumor cells dissolve their cell-cell contacts and adjust their cell-matrix adhesion sites to a more transient, migratory and invasive mode. Such temporary and reversible phenomenon is known as epithelial-to-mesenchymal transition (EMT), a multistage process that involves distinct genetic and epigenetic alterations and leads to metastasizing, tumor-seeding cells with stem cell-like capabilities, potentially cancer stem cells. Employing various cellular models of EMT in vitro and mouse models of cancer in vivo, we have recently observed that EMT is accompanied by a dramatic change in gene expression and the expression and activities of many transcription factors, also indicating a switch in signal transduction pathway activities. Here, we propose to take a focussed approach to identify the signaling pathways and their specific kinase and phosphatase components that functionally contribute to EMT and malignant tumor progression and to modulate the function of these signaling pathways in order to prevent EMT or to differentiate cancer cells into non-malignant, differentiated tumor cells. In particular, we will (1)  identify the signaling pathways and  their specific components that contribute to EMT by performing a high content microscopy screen to interfere with EMT in cultured cells using siRNA libraries against the full mammalian kinome and phosphatome. (2) use a combination of pharmacological and genetic approaches to interfere with specific components of signaling pathways to prevent cancer metastasis in mouse models in vivo. Employing mainly loss of function approaches in a variety of cellular experimental systems in vitro we will characterize the role of signaling pathways during EMT in normal murine mammary epithelial cells and in murine breast cancer cells. In particular, employing state-of-the-art high content microscopy screening with siRNA libraries against all mammalian kinases and phosphatases we will identify the signaling components and signaling pathways that are critical for an EMT to occur. Subsequently, we will employ a combination of pharmacological and RNAi-mediated approaches to interfere with EMT in breast cancer cells in vitro and with tumor metastasis in syngeneic transplantation models of breast cancer in vivo.  From these experiments we envision not only critical new insights into the molecular regulation of malignant tumor progression but we also hope to open new avenues towards the development of innovative cancer prognosis and therapy.",NA,external_funding,Completed,2105099,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Meier, Christoph R.; Schwenkglenks, Matthias",NA,Departement Public Health / Pharmazeutische Medizin (Szucs); Departement Pharmazeutische Wissenschaften / Klinische Pharmazie/Spitalpharmazie (Meier),Arzneimittelreport Schweiz,2013,Assessment of and reporting on use of pharmaceuticals in Switzerland based on claims data.,NA,external_funding,Active,2096475,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Schwenkglenks, Matthias",NA,Departement Public Health / Pharmazeutische Medizin (Szucs),Health economic analysis of PENELOPE trial,2013,"Health economic evaluation alongside the randomised controlled PENELOPE trial. PENELOPE is a phase III trial of palbociclib (PD-0332991) in patients with hormon receptor positive, HER2 negative patients with primary breast cancer and a high risk of recurrence after neoadjuvant chemotherapy.","health economic analysis, cost-effectiveness, breast cancer, chemotherapy",external_funding,Active,2202031,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Alewell, Christine","Leifeld, Jens; Paul, Sonja Marit",Departement Umweltwissenschaften / Umweltgeowissenschaften (Alewell),GHG emissions from peatlands under different land use,2013,"Peatlands are characterized by high greenhouse gas (GHG) fluxes. Natural peatlands accumulated carbon over thousands of years, but may emit CH4. The drainage and use of peatlands turn them into a hotspot of CO2 and N2O emissions. Rewetting of drained peatlands offers the possibility to reduce considerably the greenhouse gas emissions. This potential was recently accepted by the introduction of the new eligible article 3.4 activity ""Wetland Drainage and Rewetting"" under the Kyoto protocol. Switzerland can now decide to account for Wetland Drainage and Rewetting.The goal of this project is i) to improve the emissions factors of organic soils under different land use for climate reporting under UNFCCC, ii) to evaluate the potential of Wetland Drainage and Rewetting in Switzerland and iii) to develop climate smart management option for agriculture use of organic soils. Therefore, greenhouse gases (CO2, CH4 and N2O) from peatlands will be measured under different land-use for three years. In addition, master variables driving emissions such as water level, soil moisture, soil temperature, photosynthetic radiation and vegetation will be monitored.","GHG, peatlands, drainange, rewetting",external_funding,Completed,2261063,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Schibler, Jörg","Deschler-Erb, Sabine; Hüster Plogmann, Heidemarie; Stopp, Barbara",Departement Umweltwissenschaften / Archäozoologie (Schibler),"Wirtschafts-, Ernährungs- und Umweltgeschichte Mitteleuropas aufgrund archäozoologischer Daten",2014,"Animal bones from archaeological sites from Central Europe and mainly Switzerland are used as an archive for the reconstruction of history of environment, food, economy, craft, trade and human social systems. In Switzerland archaeozoological data especially from Neolithic and Bronze Age lake dwellings, Bronze Age, celtic, roman and medieval dryland sites are in the archive. This archive is also a valuable source for further scienced based analysis ancient DNA or stable isotopes.","Central Europe, Switzerland, Archaeozoology, animal bones, Neolithic, Bronze Age, Celtic, Roman, Medieval",external_funding,Completed,711903,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Steiger, Jürg","De Geest, Sabina M.; Koller, Michael; Schaub, Stefan",Departement Public Health / Pflegewissenschaft (De Geest); Departement Klinische Forschung / Klinische Epidemiologie (Bucher H); Bereich Medizinische Fächer (Klinik) / Transplantationsimmunologie und Nephrologie (Steiger),Swiss Transplant Cohort Study PSIG,2014,"The Swiss Transplant Cohort Study (STCS) is a prospective open multicentre cohort study of all solid organ transplant (SOT) recipients in Switzerland. The project was initiated in 2007 and started to actively enrol patients in May 2008. The project has been funded, among others, by the SNSF as the core funding agency and currently stays in its 4th funding period. The STCS has evolved into the key tool of transplantation outcome research in Switzerland and has gained rapid international recognition due to the high granularity of data and systematic sampling, resulting in a remarkable scientific output. The key strength that made the STCS a prominent research platform is that the leading national experts from various disciplines collaborate under one roof. Over the last years, the number of scientific projects conducted within the STCS network was continuously increasing, with the 100th project approved by the STCS Scientific committee in 2016. Currently, 41 publications appeared in peer-reviewed scientific journals. Transplant infectious diseases continued to be one of the key areas of interest with a particular track record of critical issues in CMV infections. New areas have emerged, such as airway microbiome assessments in lung transplant recipients, T-cell response studies of BK virus infections in renal transplant recipients or genetic host factors of various infectious diseases phenotypes. Since 2012, the STCS collects antibiotic drug resistance data and first results are expected in 2017. Also recently, the genetic dataset has been enlarged to 3000 patients with genome-wide data and 10 published genetic studies of various phenotypes. The Psychosocial Interest Group (PISG) presented novel studies on body weight evolution, the influence of drug adherence and on workability after renal transplantation. Multiple national and international partners collaborate with the STCS for knowledge- and data exchange, resulting in high-ranked publications. A new level will be achieved with the inter-cohort collaboration with the Danish Persimune cohort and the creation of a metacohort with a common research portfolio. The backbone of the STCS is the unique data structure that allows reflecting every transplant type and the monitoring of even more complicated follow-up scenarios. The data involves clinical -, organ-specific -, laboratory -, psychosocial and behavioural -, genetic and infectious disease contents prospectively collected on a long-term schedule. In parallel, bio-banking of plasma, cell and DNA samples takes place at 0 - 6 - 12 months. Moreover, the STCS is legally mandated to keep a limited-registry of non-consenting patients. By the end of 2016, the STCS centres enrolled 4023 patients with 4187 transplantations, and a total of 4392 transplanted organs. During a maximum follow-up of nearly 9 years, 545 patients died (13.5%) and only 42 patients were lost to follow-up (1%). 93% of all Swiss transplant recipients provided written informed consent to the full STCS datasets, and 99% of consenting patients contributed to the STCS bio-bank. The STCS publishes comprehensive reports for the public and key federal institutions, such as the Federal Office of Public Health, UniMedSuisse and the Swiss Highly Specialized Medicine Board. In 2017, clinical transplant experts conducted in-depth reviews of all datasets and defined the necessary adaptations for the next upgrade (STCS generation 3). Furthermore the genetic working group was created to coordinate funding of extended genotyping and regulate the further use of genetic data. By May 2017, 76 persons were working for the STCS corresponding to 23.8 full-time equivalents being financed by SNF, third party, and own funds. For the next funding period, the STCS will face a number of significant challenges. Patients will be involved more closely to specify their needs and integrate their priorities. In addition to the two randomized trials ongoing and in preparation, additional trials are planned to improve the management of infectious complications post-transplant. The immunological datasets need an update to enable high-quality immunological studies. The current data model will expend towards an interoperability platform to link hospital routine care- and lab data from the centres using the standards proposed by the Swiss Personalized Health Network (SPHN). Conclusion: At the end of four SNF funding periods, the STCS represents a transplant cohort with a patient volume largely above 4000, that experiences large international recognition and that serves a broad variety of clinical, translational, interventional, psychosocial, and health services research. The presented approach to expand the data model towards a data and interoperability platform will prepare the STCS to enter the personalized health area.","Psycosocial, Transplantation, Infectious disease, Graft survival, Quality of life, Epidemiology, Immunology",external_funding,Completed,1201967,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hall, Michael N.","Beerenwinkel, Niko; Christofori, Gerhard M.; Heim, Markus H.",Departement Biozentrum / Biochemistry (Hall),MERiC,2014,"Cancer is a major health problem due to the failure of current therapies to effectively eradicate the disease.  Extensive research over decades has led to the development of therapies that target cancer-specific signaling pathways.  However, tumors escape such therapies by activating compensatory signaling pathways, a process referred to as 'evasive resistance'.  The identities of the alternative signaling pathways and functional interconnections that underlie evasive resistance remain widely unknown.  Elucidating mechanisms of evasive resistance is currently the major challenge in cancer research.  We will integrate cutting-edge clinical, molecular, and computational sciences in a pioneering project to understand the signaling defects that enable tumors to evade therapy.  With its synergistic, interdisciplinary approach, the proposed project is, to our knowledge, unique in Europe and possibly worldwide. Within the framework of rigorously designed clinical studies, a clinician (PI: M. Heim) will provide basic research scientists with hepatocellular carcinoma (HCC) tissue isolated before therapy, during treatment, or at the time of tumor progression.  HCC is chosen as the focal cancer based on medical importance, accessibility to repeated sampling, and ethical considerations.  The tumor tissue will be obtained by needle biopsy and immediately snap frozen to preserve in vivo tumor properties.  The basic research scientists (PIs: G. Christofori and M. Hall) and a computational biologist (PI: N. Beerenwinkel) will apply high- and low-throughput experimental and computational methods to determine, characterize, and model the underlying signaling defects.  Importantly, using longitudinal clinical samples in combination with mouse and cellular HCC model systems, we will define treatment-related changes in cell signaling that allow tumors to circumvent therapy.  This process will be iterative such that changes in treatment strategies will again be monitored in the same patient or experimental model.  Insights gained will (i) reveal molecular pathomechanisms in oncogenesis, (ii) identify novel drug targets and predictive biomarkers, and (iii) lead to the rational design of personalized medicine that ultimately benefits patients by increasing therapeutic effectiveness and reducing side effects and financial burden.  In aggregate, this innovative, comprehensive endeavor will elucidate mechanisms of evasive resistance and will ultimately improve cancer diagnosis, treatment and clinical outcome.",NA,external_funding,Completed,2799831,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Schwenkglenks, Matthias; Bucher, Heiner C.",NA,Departement Public Health / Pharmazeutische Medizin (Szucs),Health Technology Assessments for the Swiss Medical Board,2014,Health Technology Assessment and Methodology Development for the Swiss Medical Board,NA,external_funding,Active,2614006,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
